评论ID,类型,用户名,评论内容,时间地点,点赞数
comment-68efb118000000003902abaa,主评,"小红薯6138D67A","已关注，求分享","10-15广东","1"
comment-68f04e0a0000000033005ae9,回复,"脑袋瓜里装不下啦","好啦","10-16河南","赞"
comment-68f8ff040000000039026cd1,主评,"Rita huang✨","請分享","10-22中国台湾","1"
comment-68f9ed8a0000000037027777,回复,"脑袋瓜里装不下啦","好啦","10-23河南","赞"
comment-68ed0702000000003300d12e,主评,"社恐罗罗的辣条铺","求分享","10-13江苏","1"
comment-68eda6f70000000037026506,回复,"脑袋瓜里装不下啦","好呢","10-14河南","赞"
comment-68f4a7c8000000003802c42c,主评,"momo","已关注，求分享","10-19河南","1"
comment-68f9edc400000000370246db,回复,"脑袋瓜里装不下啦","好啦","10-23河南","赞"
comment-68f4fbaa000000003800724f,主评,"财神爷💰小跟班","已关注，求分享","10-19广东","1"
comment-68f9edb900000000370131be,回复,"脑袋瓜里装不下啦","好啦","10-23河南","赞"
comment-68efb0da000000003900343f,主评,"是个迷人反派","求分享","10-15福建","1"
comment-68f04dfc0000000033024db9,回复,"脑袋瓜里装不下啦","好啦","10-16河南","赞"
comment-68eb8e6b000000003800d5f9,主评,"滋而哇滋而哇","已关注求分享","10-12广东","1"
comment-68ec5a3400000000330069ed,回复,"脑袋瓜里装不下啦","好啦","10-13河南","赞"
comment-68ef488d0000000033006e2e,主评,"崽崽","求分享","10-15安徽","1"
comment-68ef504800000000330267cb,回复,"脑袋瓜里装不下啦","好","10-15河南","赞"
comment-68f4aa9a0000000039031e0c,主评,"因果循环","已关注，求分享","10-19湖南","1"
comment-68f9edd6000000003300f512,回复,"脑袋瓜里装不下啦","未guan发不了呢宝子","10-23河南","赞"
comment-68e6f5c8000000003800f9b9,主评,"月光","已关注 求分享","10-09山东","赞"
comment-68e712a1000000003701018c,回复,"脑袋瓜里装不下啦","好哒","10-09河南","赞"
comment-68e51ba9000000003902f919,主评,"贵阳的工作","已关注，求分享","10-07贵州","赞"
comment-68e5c0e80000000037025e11,回复,"脑袋瓜里装不下啦","好啦","10-08河南","赞"
comment-68ef15bc000000003302058b,主评,"临风听雨","已关注求分享，谢谢🙏","10-15山东","1"
comment-68ef193c00000000330040d3,回复,"脑袋瓜里装不下啦","好啦","10-15河南","赞"
comment-68eb08ef0000000039031caa,主评,"、燕子💋","已关注求分享","10-12浙江","1"
comment-68ec5a7d000000003701384a,回复,"脑袋瓜里装不下啦","好啦","10-13河南","赞"
comment-68ecb8910000000039024a8f,主评,"铛铛铛铛","求分享","10-13北京","1"
comment-68ecce9300000000330202b8,回复,"脑袋瓜里装不下啦","好的","10-13河南","赞"
comment-68ef9dad000000003800fa2c,主评,"王方方芳呀","已关注求分享","10-15上海","1"
comment-68f04dd600000000370262f9,回复,"脑袋瓜里装不下啦","好啦","10-16河南","赞"
comment-68f4c74d0000000033007c13,主评,"佳儿","求分享","10-19湖南","1"
comment-68f9ed69000000003300e178,回复,"脑袋瓜里装不下啦","好","10-23河南","赞"
comment-68f60fb2000000003902e263,主评,"嘉澍","已关注求分享","10-20江苏","1"
comment-68f9ee2c000000003302485c,回复,"脑袋瓜里装不下啦","好啦","10-23河南","赞"
comment-68e74e48000000003800bf8a,主评,"无言","已关注，求分享","10-09浙江","赞"
comment-68e75a1c000000003300658d,回复,"脑袋瓜里装不下啦","好啦","10-09河南","赞"
comment-68f87fe6000000003300576e,主评,"郭小甜（元旦版ing）","求分享","10-22广东","1"
comment-68f9ed970000000037012996,回复,"脑袋瓜里装不下啦","未guan发不了呢宝子","10-23河南","赞"
comment-68ef86c200000000380119a8,主评,"嘟嘟嘟～","已关注 求分享","10-15浙江","1"
comment-68f04dcc000000003300f509,回复,"脑袋瓜里装不下啦","好啦","10-16河南","赞"
comment-68ecea26000000003803f1db,主评,"ÉLISABETH","求分享","10-13湖北","1"
comment-68eda69a000000003300e070,回复,"脑袋瓜里装不下啦","好啦","10-14河南","赞"
comment-68f0acef0000000037025cda,主评,"尾田荣一 头","已关注，求分享","10-16山东","赞"
comment-68f1a71a0000000033027dc4,回复,"脑袋瓜里装不下啦","好","10-17河南","赞"
comment-68e8df0e0000000033005796,主评,"吃货大大吖","已关注求分享","10-10上海","赞"
comment-68e9b457000000003300e97a,回复,"脑袋瓜里装不下啦","好啦","10-11河南","赞"
comment-68e86a5700000000390304c8,主评,"白猫耶耶","已关，求分享","10-10福建","赞"
comment-68e8873c0000000033027edb,回复,"脑袋瓜里装不下啦","好呢","10-10河南","赞"
comment-68ec3dbe000000003902ab86,主评,"柠檬哆啦 ","已关注，求分享","10-13重庆","1"
